mavpackettype,TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
GPS,2120048823,0,3,459432200,2249,15,0.77,24.786951499999997,120.99342019999999,93.17,0.5264466404914856,94.24845123291016,-0.12700000405311584,0.0,1
GPS,2120248891,0,3,459432400,2249,15,0.77,24.7869513,120.9934212,93.2,0.4843655824661255,103.49111938476562,-0.13600000739097595,0.0,1
GPS,2120448835,0,3,459432600,2249,15,0.77,24.786951,120.99342209999999,93.22,0.5446613430976868,113.36434173583984,-0.10300000756978989,0.0,1
GPS,2120628831,0,3,459432800,2249,15,0.77,24.7869505,120.9934231,93.21000000000001,0.5882942080497742,115.04042053222656,-0.007000000216066837,0.0,1
GPS,2120848787,0,3,459433000,2249,15,0.77,24.7869499,120.99342419999999,93.2,0.6382742524147034,122.71903991699219,-0.058000002056360245,0.0,1
GPS,2121048832,0,3,459433200,2249,15,0.77,24.7869493,120.9934253,93.22,0.6820535659790039,120.77645111083984,-0.0690000057220459,0.0,1
GPS,2121248813,0,3,459433400,2249,15,0.77,24.786948499999998,120.9934265,93.22,0.850339412689209,122.26963806152344,-0.1340000033378601,0.0,1
GPS,2121448818,0,3,459433600,2249,15,0.77,24.7869475,120.9934279,93.19,0.9150546789169312,126.24372863769531,-0.10700000822544098,0.0,1
GPS,2121648844,0,3,459433800,2249,15,0.77,24.7869463,120.9934294,93.22,1.0630381107330322,132.56011962890625,-0.0860000029206276,0.0,1
GPS,2121848807,0,3,459434000,2249,15,0.77,24.7869451,120.99343089999999,93.26,1.0350430011749268,132.18060302734375,-0.08900000154972076,0.0,1
GPS,2122028808,0,3,459434200,2249,15,0.77,24.7869438,120.9934325,93.27,1.1051809787750244,127.90679931640625,-0.1510000079870224,0.0,1
GPS,2122248824,0,3,459434400,2249,15,0.77,24.7869425,120.99343429999999,93.3,1.1081990003585815,125.78408813476562,-0.16700001060962677,0.0,1
GPS,2122448817,0,3,459434600,2249,15,0.77,24.786941199999998,120.99343599999999,93.31,1.092643141746521,131.9209442138672,-0.09800000488758087,0.0,1
GPS,2122648785,0,3,459434800,2249,15,0.77,24.786939999999998,120.9934376,93.35000000000001,1.064617395401001,131.03909301757812,-0.2200000137090683,0.0,1
GPS,2122848860,0,3,459435000,2249,15,0.77,24.7869389,120.99343909999999,93.39,0.9388381838798523,123.9270248413086,-0.19200000166893005,0.0,1
GPS,2123048904,0,3,459435200,2249,15,0.77,24.786937899999998,120.99344049999999,93.4,0.8356614708900452,123.48088073730469,-0.11400000751018524,0.0,1
GPS,2123248889,0,3,459435400,2249,15,0.77,24.7869371,120.9934418,93.4,0.6695252060890198,123.54765319824219,-0.0560000017285347,0.0,1
GPS,2123448818,0,3,459435600,2249,15,0.77,24.7869365,120.9934428,93.42,0.5898110270500183,126.52017974853516,-0.03100000135600567,0.0,1
GPS,2123648844,0,3,459435800,2249,15,0.77,24.7869359,120.99344359999999,93.43,0.44032377004623413,119.8255844116211,-0.11800000816583633,0.0,1
GPS,2123848823,0,3,459436000,2249,15,0.77,24.7869355,120.9934442,93.44,0.3294510841369629,125.86114501953125,-0.02800000086426735,0.0,1
GPS,2124048846,0,3,459436200,2249,15,0.77,24.7869352,120.99344459999999,93.46000000000001,0.2397269308567047,128.7344512939453,-0.13900001347064972,0.0,1
GPS,2124248747,0,3,459436400,2249,15,0.77,24.786935,120.993445,93.47,0.16177144646644592,112.91954040527344,-0.09300000220537186,0.0,1
GPS,2124448838,0,3,459436600,2249,15,0.77,24.7869349,120.99344509999999,93.5,0.0917060598731041,71.56504821777344,-0.05000000074505806,0.0,1
GPS,2124648807,0,3,459436800,2249,15,0.77,24.786935,120.99344529999999,93.5,0.09217917174100876,28.511247634887695,-0.15600000321865082,0.0,1
GPS,2124848876,0,3,459437000,2249,15,0.77,24.7869352,120.99344529999999,93.53,0.13023057579994202,10.619654655456543,-0.10200000554323196,0.0,1
GPS,2125048851,0,3,459437200,2249,15,0.77,24.786935399999997,120.99344529999999,93.54,0.1032472774386406,338.4046936035156,-0.13900001347064972,0.0,1
GPS,2125248799,0,3,459437400,2249,15,0.77,24.7869355,120.99344509999999,93.56,0.0805232897400856,284.38140869140625,-0.17900000512599945,0.0,1
GPS,2125448769,0,3,459437600,2249,15,0.77,24.786935399999997,120.993445,93.58,0.06312685459852219,266.3670654296875,-0.11800000816583633,0.0,1
GPS,2125648827,0,3,459437800,2249,15,0.77,24.7869353,120.99344479999999,93.60000000000001,0.12233152240514755,225.33119201660156,-0.07500000298023224,0.0,1
GPS,2125848819,0,3,459438000,2249,15,0.77,24.786935099999997,120.99344459999999,93.60000000000001,0.11681181937456131,201.07273864746094,-0.0950000062584877,0.0,1
GPS,2126028825,0,3,459438200,2249,15,0.77,24.7869349,120.99344459999999,93.62,0.16422241926193237,173.0048065185547,-0.03400000184774399,0.0,1
GPS,2126248809,0,3,459438400,2249,15,0.77,24.786934499999997,120.99344459999999,93.63,0.20459961891174316,161.4764862060547,-0.03200000151991844,0.0,1
GPS,2126448830,0,3,459438600,2249,15,0.77,24.786934199999997,120.99344479999999,93.63,0.2123487889766693,150.05430603027344,-0.09100000560283661,0.0,1
GPS,2126648846,0,3,459438800,2249,15,0.77,24.7869338,120.993445,93.64,0.2524460256099701,134.51852416992188,-0.026000000536441803,0.0,1
GPS,2126848809,0,3,459439000,2249,15,0.77,24.7869335,120.9934454,93.64,0.25023388862609863,130.948974609375,0.021000001579523087,0.0,1
GPS,2127048773,0,3,459439200,2249,15,0.77,24.7869332,120.9934456,93.63,0.2256014347076416,142.9269256591797,-0.027000000700354576,0.0,1
GPS,2127248857,0,3,459439400,2249,15,0.77,24.7869329,120.99344579999999,93.63,0.13484807312488556,144.65988159179688,0.01900000125169754,0.0,1
GPS,2127428849,0,3,459439600,2249,15,0.77,24.786932699999998,120.9934459,93.62,0.1363084763288498,157.57412719726562,0.036000002175569534,0.0,1
GPS,2127648802,0,3,459439800,2249,15,0.77,24.7869325,120.99344599999999,93.60000000000001,0.11011357605457306,129.4724578857422,0.06200000271201134,0.0,1
GPS,2127848806,0,3,459440000,2249,15,0.77,24.786932399999998,120.9934461,93.58,0.0585918091237545,117.43971252441406,0.07500000298023224,0.0,1
GPS,2128048786,0,3,459440200,2249,15,0.77,24.786932399999998,120.9934461,93.56,0.06306346505880356,27.377700805664062,0.07700000703334808,0.0,1
GPS,2128248844,0,3,459440400,2249,15,0.77,24.7869325,120.9934462,93.54,0.07116881757974625,19.707977294921875,0.16200000047683716,0.0,1
GPS,2128448839,0,3,459440600,2249,15,0.77,24.7869328,120.9934462,93.53,0.16301226615905762,359.2970275878906,0.1210000067949295,0.0,1
GPS,2128648829,0,3,459440800,2249,15,0.77,24.7869331,120.9934461,93.5,0.23413245379924774,354.3624572753906,0.10000000149011612,0.0,1
GPS,2128848842,0,3,459441000,2249,15,0.77,24.7869335,120.99344599999999,93.48,0.2411244660615921,347.0588073730469,0.10100000351667404,0.0,1
GPS,2129048838,0,3,459441200,2249,15,0.77,24.786934,120.99344579999999,93.46000000000001,0.3153918385505676,344.5536804199219,0.09400000423192978,0.0,1
GPS,2129248793,0,3,459441400,2249,15,0.77,24.786934499999997,120.9934456,93.45,0.2484552413225174,336.01409912109375,0.16600000858306885,0.0,1
GPS,2129448837,0,3,459441600,2249,15,0.77,24.7869349,120.9934454,93.43,0.28931817412376404,337.86761474609375,-0.0020000000949949026,0.0,1
GPS,2129648801,0,3,459441800,2249,15,0.77,24.7869352,120.99344509999999,93.43,0.21280978620052338,310.42608642578125,0.013000000268220901,0.0,1
GPS,2129848811,0,3,459442000,2249,15,0.77,24.786935399999997,120.99344479999999,93.42,0.14065562188625336,299.845947265625,0.027000000700354576,0.0,1
GPS,2130028844,0,3,459442200,2249,15,0.77,24.786935399999997,120.9934447,93.41,0.08714356273412704,273.28924560546875,-0.06000000238418579,0.0,1
GPS,2130248863,0,3,459442400,2249,15,0.77,24.786935399999997,120.9934445,93.42,0.08183520287275314,231.4495391845703,0.0560000017285347,0.0,1
GPS,2130448785,0,3,459442600,2249,15,0.77,24.7869353,120.9934444,93.43,0.07000714540481567,180.81846618652344,0.10500000417232513,0.0,1
GPS,2130648828,0,3,459442800,2249,15,0.77,24.7869352,120.9934445,93.41,0.05400000140070915,90.0,0.03400000184774399,0.0,1
GPS,2130848826,0,3,459443000,2249,15,0.77,24.7869352,120.99344459999999,93.41,0.10716810077428818,93.20947265625,-0.00800000037997961,0.0,1
GPS,2131048850,0,3,459443200,2249,15,0.77,24.7869352,120.99344479999999,93.39,0.13300377130508423,46.827964782714844,0.03800000250339508,0.0,1
GPS,2131248816,0,3,459443400,2249,15,0.77,24.786935399999997,120.993445,93.37,0.143422469496727,57.52880096435547,0.12600000202655792,0.0,1
GPS,2131428816,0,3,459443600,2249,15,0.77,24.7869355,120.9934452,93.34,0.16335545480251312,44.25593948364258,0.09200000762939453,0.0,1
GPS,2131648833,0,3,459443800,2249,14,0.77,24.786935699999997,120.9934454,93.32000000000001,0.15980301797389984,5.7462687492370605,0.07800000160932541,0.0,1
GPS,2131848870,0,3,459444000,2249,14,0.87,24.786935999999997,120.99344529999999,93.3,0.14681962132453918,335.8790283203125,0.07500000298023224,0.0,1
GPS,2132048815,0,3,459444200,2249,15,0.87,24.7869361,120.99344509999999,93.27,0.1568470597267151,319.913818359375,0.08700000494718552,0.0,1
GPS,2132248827,0,3,459444400,2249,15,0.87,24.7869362,120.99344479999999,93.22,0.22726638615131378,283.4859313964844,0.19700001180171967,0.0,1
