date,Distance,Angle,Motion,Velocity,RSSI
206,11.979256573693,0.614843210058634,1,0.308889357735083,170
207,12.2118709382331,0.598478698045764,1,0.23261436454013,170
208,12.3193217287978,0.590587180144837,1,0.154200186735419,170
209,12.4811764861334,0.580001582971599,1,0.143536383129041,170
210,11.7104978565874,0.615368947874214,-1,-0.313990410196418,169
211,11.5819334088011,0.595857766505367,-1,-0.128564447786292,170
212,11.6482347011642,0.579639647917788,1,0.0658524154150921,172
213,11.7933400982766,0.564564258428836,1,0.116824289766347,172
214,11.9534416151513,0.55708950690978,1,0.160101516874732,172
215,12.0883878304818,0.551121524803969,1,0.175014180856667,174
216,12.0092743129127,0.549307221411368,-1,-0.0884607741299437,175
217,11.8662803507407,0.547791870284054,-1,-0.142993962171973,177
218,11.7946516878908,0.549511391450818,-1,-0.0716286628499585,178
219,11.7697544074104,0.549810623351036,0,-0.0248972804803778,177
220,11.7448054124203,0.556117755845061,0,-0.0249489949901225,177
221,11.6757594315988,0.55979760785502,-1,-0.0690459808214232,177
222,11.7412119475445,0.559319619501813,1,0.0654525159456583,174
223,11.840593289161,0.554074000885172,1,0.0993813416164979,169
224,12.0425585658554,0.540821889444602,1,0.201965276694356,170
225,12.2338248418538,0.527670432435537,1,0.19126627599843,170
226,12.3221477547518,0.517884975252388,1,0.088322912897965,170
227,12.4799262199425,0.517137471572207,1,0.0727121614116442,171
228,12.6241164889537,0.520668951305452,1,0.110827539963443,174
229,12.7302647759249,0.518605161927266,1,0.106148286971127,176
230,12.5228583113402,0.46629270350749,0,0.00449259189013951,174
231,12.6084031662039,0.474437540312205,1,0.0855448548637021,174
232,13.2242647640365,0.548036103507641,1,0.334361451231857,174
233,13.2192166884178,0.551818654160626,0,-0.00504807561869569,174
234,12.9427088116068,0.527050037681445,-1,-0.276507876811065,174
235,12.6836593210949,0.489172887205014,-1,-0.259049490511856,174
236,12.4566461855939,0.450159434707333,-1,-0.227013135501062,168
237,12.3553862061519,0.442448367118046,0,-0.00768472271953158,167
238,12.5681798318932,0.46447856555964,1,0.190710505846045,168
239,12.8412722572307,0.508321775094572,1,0.093603913891835,173
240,12.807800715421,0.511568339823249,0,-0.0334715418097549,173
241,12.1962980691139,0.555312837414515,0,0.0281672982125833,177
242,12.1370741602755,0.573963251018176,-1,-0.0564278319925826,178
243,12.0395516409149,0.584180002064222,-1,-0.0975225193605809,180
244,11.8817114048349,0.585901376352052,-1,-0.157840236080006,188
245,11.8768366784897,0.582136394576484,0,-0.00487472634522312,189
246,11.9874797284896,0.57309174440758,1,0.123315302338012,190
