mavpackettype,TimeUS,RSSI,RemRSSI,TxBuf,Noise,RemNoise,RxErrors,Fixed
RAD,1186931367,180,170,98,33,49,0,0
RAD,1187924192,180,172,100,25,70,0,0
RAD,1187924248,180,172,100,25,70,0,0
RAD,1188981312,180,174,94,34,55,0,0
RAD,1188981337,180,174,94,34,55,0,0
RAD,1190026299,180,173,86,35,53,0,0
RAD,1190026325,180,173,86,35,53,0,0
RAD,1190899212,180,174,100,36,50,0,0
RAD,1190899292,180,174,100,36,50,0,0
RAD,1192941344,180,175,95,30,60,0,0
RAD,1192941369,180,175,95,30,60,0,0
RAD,1193903864,181,174,100,23,66,0,0
RAD,1193903931,181,174,100,23,66,0,0
RAD,1194938865,179,168,96,39,65,0,0
RAD,1194938943,179,168,96,39,65,0,0
RAD,1195968927,177,164,91,31,46,0,0
RAD,1195968952,177,164,91,31,46,0,0
RAD,1197956319,177,164,94,39,46,0,0
RAD,1197956411,177,164,94,39,46,0,0
RAD,1198950329,177,170,94,28,72,0,0
RAD,1198950389,177,170,94,28,72,0,0
RAD,1200026331,178,167,86,31,60,0,0
RAD,1200026362,178,167,86,31,60,0,0
RAD,1200941364,178,171,95,35,50,0,0
RAD,1200941390,178,171,95,35,50,0,0
RAD,1201984090,178,169,94,33,55,0,0
RAD,1201984158,178,169,94,33,55,0,0
RAD,1203960317,179,170,94,30,54,0,0
RAD,1203960388,179,170,94,30,54,0,0
RAD,1205038917,178,170,82,25,53,0,0
RAD,1205039007,178,170,82,25,53,0,0
RAD,1205918910,178,170,96,36,77,0,0
RAD,1205918939,178,170,96,36,77,0,0
RAD,1207036654,176,166,83,33,82,0,0
RAD,1207036707,176,166,83,33,82,0,0
RAD,1207924197,174,159,100,32,77,0,0
RAD,1207924267,174,159,100,32,77,0,0
RAD,1208934177,177,167,97,40,71,0,0
RAD,1208934202,177,167,97,40,71,0,0
RAD,1210956327,181,172,94,28,40,0,0
RAD,1210956352,181,172,94,28,40,0,0
RAD,1211978822,180,174,94,29,48,0,0
RAD,1211978848,180,174,94,29,48,0,0
RAD,1212944212,180,172,94,30,87,0,0
RAD,1212944292,180,172,94,30,87,0,0
RAD,1213906710,180,173,100,29,53,0,0
RAD,1213906735,180,173,100,29,53,0,0
RAD,1214961315,182,169,94,27,96,0,0
RAD,1214961432,182,169,94,27,96,0,0
RAD,1215948959,181,174,94,35,83,0,0
RAD,1215948984,181,174,94,35,83,0,0
RAD,1217031643,181,175,84,24,48,0,0
RAD,1217031749,181,175,84,24,48,0,0
RAD,1217957831,181,169,94,33,57,0,0
RAD,1217957884,181,169,94,33,57,0,0
RAD,1218960294,181,169,94,33,61,0,0
RAD,1218960319,181,169,94,33,61,0,0
RAD,1219994249,180,166,94,28,76,0,0
RAD,1219994316,180,166,94,28,76,0,0
RAD,1220978894,177,166,94,26,54,0,0
RAD,1220978919,177,166,94,26,54,0,0
RAD,1221978855,173,165,94,28,68,0,0
RAD,1221978913,173,165,94,28,68,0,0
RAD,1222946791,169,157,94,37,61,0,0
RAD,1222946816,169,157,94,37,61,0,0
RAD,1224046751,167,151,79,41,80,0,0
RAD,1224046778,167,151,79,41,80,0,0
RAD,1225009442,167,160,91,35,60,0,0
RAD,1225009468,167,160,91,35,60,0,0
RAD,1225969250,165,158,94,36,41,0,0
RAD,1225969332,165,158,94,36,41,0,0
RAD,1227953832,170,164,94,33,65,0,0
RAD,1227953858,170,164,94,33,65,0,0
RAD,1228953858,170,162,94,39,74,0,0
RAD,1228953884,170,162,94,39,74,0,0
RAD,1230034148,171,163,83,33,79,0,0
RAD,1230034202,171,163,83,33,79,0,0
RAD,1230951367,173,163,94,31,52,0,0
RAD,1230951408,173,163,94,31,52,0,0
RAD,1231946827,175,165,94,36,75,0,0
RAD,1231946852,175,165,94,36,75,0,0
RAD,1232938902,177,165,96,32,83,0,0
RAD,1232938939,177,165,96,32,83,0,0
RAD,1233948869,180,172,94,27,51,0,0
RAD,1233948899,180,172,94,27,51,0,0
RAD,1234938911,180,173,96,29,54,0,0
RAD,1234938936,180,173,96,29,54,0,0
RAD,1236011349,180,171,90,27,51,0,0
RAD,1236011375,180,171,90,27,51,0,0
RAD,1236938887,180,171,92,30,43,0,0
RAD,1236938911,180,171,92,30,43,0,0
RAD,1237961340,179,168,94,31,78,0,0
RAD,1237961365,179,168,94,31,78,0,0
RAD,1238944243,174,166,94,51,82,0,0
RAD,1238944269,174,166,94,51,82,0,0
RAD,1239941396,168,157,95,25,64,0,0
RAD,1239941422,168,157,95,25,64,0,0
RAD,1241021707,164,156,87,36,72,0,0
RAD,1241021737,164,156,87,36,72,0,0
RAD,1242057837,164,149,76,28,63,0,0
RAD,1242057862,164,149,76,28,63,0,0
RAD,1242946772,164,152,94,29,66,0,0
RAD,1242946832,164,152,94,29,66,0,0
RAD,1245141397,163,150,54,29,69,0,0
RAD,1245141452,163,150,54,29,69,0,0
RAD,1245963840,167,154,94,30,55,0,0
RAD,1245963865,167,154,94,30,55,0,0
RAD,1247049011,163,152,79,29,79,0,0
RAD,1247049047,163,152,79,29,79,0,0
RAD,1247960314,162,154,94,29,52,0,0
RAD,1247960393,162,154,94,29,52,0,0
RAD,1248946830,162,156,94,24,71,0,0
RAD,1248946856,162,156,94,24,71,0,0
